ID,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PASV931,0.000314564,0.000196603,0.000157282,0.000235923,0.000275244,0
PASV6375,0.000117962,0,0.000668449,0,0.000865052,0
PASV2424,0.00070777,0,0.000471846,0,0,0
PASV1434,0,0.000235923,0.000589808,0.000196603,0.000589808,0
PASV7512,0,0,0.001848065,0,0,0
PASV9261,0,0,0,0.001572822,0,0
PASV3302,0,0,0,0.000235923,0.000393205,0.000393205
PASV3256,0,0,0.000550488,0,0.000511167,0
PASV4883,0,0.00074709,0,0,0.000196603,0.000235923
PASV3515,0.000393205,0,0.000275244,0.000275244,0.000157282,0
PASV4837,0,0,0.000314564,0,0.000353885,0.00070777
PASV4840,0.000983014,0,0,0,0,0.000668449
PASV8769,0,0.000393205,0,0.001179616,0,0
PASV1977,0,0,0.000275244,0.000511167,0.000471846,0.000117962
PASV8749,0,0.001415539,0,0,0,0
PASV6376,0,0.000393205,0,0,0.000786411,0
PASV2175,0.000629129,7.86E-05,0,0.000235923,0.000157282,0.000117962
PASV2733,0,0,0,0,7.86E-05,0.001297578
PASV8074,0.000668449,0,0,0.000825731,0,0
PASV8062,0.001612142,0,0,0,0,0
PASV7054,0.00070777,0.000550488,0,0,0,0
PASV3402,0,0,0,0.001061655,0,0
PASV7514,0,0,0.001061655,0,0,0
PASV4838,0,0,0.000511167,0,0,0.000668449
PASV1595,0.000196603,0.000511167,0,0.000314564,0,0
PASV9262,0,0,0,0.001179616,0,0
PASV4818,0,0,0,0,0,0.001179616
PASV7521,0,0.000629129,0.00070777,0,0,0
PASV9263,0,0,0,0.001022334,0,0
PASV7519,0.000353885,0,0.000983014,0,0,0
PASV4860,0,0,0,0,0.000589808,0.000432526
PASV7515,0,0,0.001179616,0,0,0
PASV8773,0,0.000471846,0,0.00070777,0,0
PASV8751,0,0.001061655,0,0,0,0
PASV7516,0,0,0.001061655,0,0,0
PASV8065,0.001140296,0,0,0,0,0
PASV8067,0.001140296,0,0,0,0,0
PASV8066,0.001140296,0,0,0,0,0
PASV8754,0,0.001100975,0,0,0,0
PASV4824,0,0,0,0,0,0.001022334
