ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
Protozoa_ASV83,0.010456955,0.006589314,0.00601633,0.014181349,0.002435181,0.00601633,0.005729838,0.009454233,0.007019052,0.010886692,0.009454233,0.008594757
Protozoa_ASV918,0.002435181,0,0,0.001718951,0.001289214,0.000859476,0,0,0.001862197,0,0,0
Protozoa_ASV614,0.00071623,0.000572984,0.000429738,0,0.004727116,0.000572984,0,0.000143246,0,0,0.000429738,0
Protozoa_ASV345,0.001862197,0.00143246,0.001145968,0.00143246,0.002148689,0.001002722,0,0,0,0.000143246,0.005443346,0.001145968
Protozoa_ASV2630,0,0.001002722,0,0,0,0,0.001002722,0,0,0,0.002148689,0
Protozoa_ASV341,0.002005443,0,0.000859476,0.00071623,0.000429738,0.000286492,0.001002722,0.001002722,0,0,0,0.000143246
Protozoa_ASV319,0,0,0.00071623,0.001862197,0.001145968,0.000143246,0,0,0,0.000572984,0,0.001145968
Protozoa_ASV8,0.018908466,0.021200401,0.026786993,0.016473285,0.014754333,0.007592036,0.012605644,0.016759777,0.020197679,0.012175906,0.019338204,0.014897579
Protozoa_ASV29,0.004154133,0.003151411,0.011889414,0.002864919,0.005013608,0.001575705,0.031227618,0.01203266,0.007592036,0.006589314,0.005729838,0.003867641
Protozoa_ASV1035,0,0,0,0.00071623,0.002005443,0,0.001718951,0,0.002148689,0.000143246,0.001002722,0.00143246
Protozoa_ASV612,0,0,0.000429738,0,0.000286492,0,0.001575705,0,0.000429738,0,0.002291935,0
Protozoa_ASV430,0.00071623,0,0.000859476,0.001718951,0.00071623,0,0,0,0,0.000429738,0,0.00071623
Protozoa_ASV1697,0,0,0,0,0,0,0.00143246,0,0,0.001862197,0.000429738,0
Protozoa_ASV211,0,0,0.002291935,0.002005443,0.001718951,0.001289214,0.002148689,0.001002722,0.008881249,0,0.00143246,0.002291935
Protozoa_ASV910,0,0.004583871,0,0.001862197,0,0.004583871,0,0,0.002291935,0.003724395,0.003867641,0
Protozoa_ASV1365,0,0.001289214,0,0,0,0,0.002864919,0.004870362,0,0,0,0.00071623
Protozoa_ASV1847,0,0.001862197,0,0,0.001145968,0,0.000859476,0,0,0.001289214,0,0.001145968
Protozoa_ASV1398,0.004010887,0,0,0,0.002005443,0,0.00143246,0.002721673,0,0,0.00143246,0.001002722
Protozoa_ASV932,0,0,0,0.00143246,0.001289214,0,0,0,0,0,0.000429738,0.001289214
Protozoa_ASV980,0,0,0,0.000572984,0.001145968,0.000859476,0.001575705,0.00071623,0.001289214,0.003581149,0.000572984,0.001862197
Protozoa_ASV2565,0,0.002578427,0,0,0,0,0.003724395,0,0,0,0.001575705,0
Protozoa_ASV1018,0.002005443,0,0,0.001145968,0,0.00071623,0.000143246,0,0,0,0.000572984,0.002291935
Protozoa_ASV31,0.010600201,0.018335482,0.011746168,0.014038103,0.009454233,0.007592036,0.015184071,0.019051712,0.01948145,0.012175906,0.016330039,0.007019052
Protozoa_ASV277,0.003867641,0.004297379,0.001575705,0.001002722,0,0.001289214,0.004727116,0.002578427,0.007019052,0.001289214,0.004583871,0.003437903
Protozoa_ASV1082,0.000572984,0,0,0.000429738,0.000429738,0,0.000572984,0,0.000429738,0.001145968,0.001002722,0
Protozoa_ASV129,0.0053001,0.002148689,0.002721673,0,0,0.003008165,0.002148689,0.005443346,0.002435181,0.006875806,0.009167741,0.004727116
