,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6
PASV358,0.00070777,0.001140296,0,0.001415539,0.00074709,0.000668449
PASV166,0.001887386,0,0.00145486,0.000943693,0,0
PASV321,0.000668449,0.000471846,0.00074709,0.000865052,0.00070777,0.001140296
PASV4813,0,0,0,0.003302925,0.00145486,0
PASV2387,0,0.000983014,0.001808745,0.001100975,0.001612142,0.00145486
PASV425,0.000589808,0,0.000550488,0.000393205,0,0
PASV158,0.001730104,0.000550488,0.000589808,0,0.000629129,0.000393205
PASV5561,0,0,0,0,0.001926707,0
PASV424,0.000629129,0.000825731,0.001061655,0.00074709,0,0.000904372
PASV300,0.000825731,0.000865052,0.00074709,0,0.000786411,0.000825731
PASV562,0.000314564,0.000943693,0.004167977,0,0,0.002595156
PASV266,0.000865052,0,0.000904372,0,0.001258257,0
PASV496,0.000471846,0,0.000511167,0.000353885,0.000275244,0
PASV236,0.001376219,0.000786411,0.000865052,0.000117962,0.003263605,0
PASV363,0.00070777,0,0.000668449,0.000865052,0,0.000589808
PASV878,0.000235923,0.000471846,0.000786411,0.000865052,0.000825731,0.000904372
PASV248,0.001376219,0.001336898,0.000825731,0,0.000629129,0
PASV332,0.001022334,0.000471846,0.000393205,0.000275244,0.000904372,0.000432526
PASV352,0.00070777,0.000825731,0.000786411,0,0.000668449,0.000904372
PASV4080,0,0,0.001415539,0.001376219,0,0
PASV4079,0,0,0.001612142,0,0.001258257,0
PASV161,0.00145486,0,0.001415539,0,0.002359232,0
PASV506,0.000353885,0.000629129,0.001179616,0.00070777,0.000550488,0.001415539
PASV483,0.000471846,0.000786411,0.003067002,0,0.000983014,0
PASV468,0.000589808,0.001022334,0.000786411,0.001218937,0.000865052,0
PASV435,0.000511167,0.000786411,0.001100975,0.00074709,0.001061655,0
PASV461,0.000432526,0,0.001140296,0.000393205,0,0.000668449
PASV567,0.000432526,0.000393205,0.001179616,0.000235923,0.001376219,0.000629129
PASV362,0.000432526,0.000589808,0.001061655,0.000393205,0.000471846,0.000432526
PASV410,0.00074709,0,0,0.000943693,0.005504876,0
PASV265,0.000943693,0,0.000393205,0.000904372,0.000983014,0.000786411
PASV381,0.000511167,0.00070777,0.001651463,0.000629129,0.000550488,0.000393205
PASV283,0.000865052,0.001061655,0.000432526,0.000393205,0.000471846,0.000943693
PASV217,0.001336898,0.001336898,0.00074709,0.001100975,0,0.00070777
PASV194,0.001494181,0.001179616,0,0,0.001061655,0
PASV492,0.000432526,0.000432526,0.000550488,0.001612142,0,0.00074709
PASV591,0.000235923,0,0,0.001061655,0.001926707,0.001022334
PASV357,0.000629129,0.00070777,0,0.000629129,0.000786411,0.000943693
PASV421,0.000511167,0.000432526,0.000314564,0.00074709,0.000786411,0.000589808
PASV549,0.000393205,0,0.001179616,0,0.00216263,0.000235923
PASV508,0.000471846,0.000393205,0.000825731,0.001100975,0.000589808,0.000432526
PASV349,0.000471846,0.000550488,0.000314564,0.000314564,0.000943693,0.000589808
PASV191,0.001533501,0,0,0,0,0.000865052
PASV408,0.000511167,0.000983014,0.001336898,0.001100975,0.000589808,0
PASV755,0.000235923,0,0.000314564,0.000865052,0.001100975,0.001061655
PASV584,0.000275244,0.000235923,0.000589808,0,0.001022334,0.000471846
PASV215,0.000943693,0.000314564,0.000825731,0,0.000865052,0
PASV335,0.000786411,0.000550488,0.000550488,0.000393205,0,0.000471846
PASV919,0.000314564,0.000550488,0.000589808,0.000157282,0,0.000668449
PASV229,0.000904372,0.000943693,0,0.000314564,0.000157282,0.000589808
PASV3242,0,0,0,0.000432526,0,0.00070777
PASV455,0.000471846,0.000629129,0.001376219,0.00074709,0.000825731,0.000432526
PASV596,0.000196603,0.000393205,0.000511167,0.000353885,0,0.000393205
PASV306,0.000825731,0,0.000629129,0.00074709,0,0.000471846
PASV411,0.000825731,0.000904372,0.000668449,0.000314564,0.001140296,0.000629129
PASV393,0.000550488,0.000865052,0,0.000432526,0.000668449,0.000550488
PASV568,0.000314564,0.000275244,0,0.000983014,0.000550488,0.001336898
PASV4816,0,0,0,0.001730104,0.001336898,0
PASV769,0.000432526,0.000786411,0.003106323,0,0,0.001376219
PASV247,0.001100975,0.000511167,0,0,0.000157282,0
PASV747,0.000196603,0.00070777,0.000786411,0,0.000668449,0.001808745
PASV510,0.000235923,0.000668449,0,0.000393205,0.000353885,0.000196603
PASV389,0.000668449,0.000471846,0.000629129,0,0,0.000550488
PASV235,0.001218937,0,0.000786411,0.000865052,0.000983014,0
PASV2379,0,0.001572822,0.001100975,0,0.000471846,0.000629129
PASV676,0.000196603,0.000314564,0.000511167,0.000196603,0.003892734,0
PASV448,0.000471846,0,0,0,0.004050016,0
PASV608,0.000393205,0.000983014,0.000393205,0.000589808,0.000511167,0.000589808
PASV563,0.000353885,0,0.000432526,0.000471846,0.000825731,0.000550488
PASV539,0.000314564,0.000471846,0.000393205,0.000117962,0.000275244,0.001297578
PASV431,0.000550488,0.000314564,0.000668449,0.000550488,0.001690783,0.000943693
PASV380,0.000511167,0.000275244,0.000550488,0.000314564,0.000235923,0.00074709
PASV685,0.000393205,0.00074709,0,0,0.000511167,0.000943693
PASV450,0.000432526,0.000432526,0,0.000432526,0,0.000629129
PASV334,0.000668449,0.000353885,0.001022334,0.000786411,0.000353885,0
PASV233,0.001100975,0,0.000471846,0.000432526,0,0
PASV378,0.000511167,0.000196603,0.000550488,0.000157282,0.000235923,0.000943693
PASV505,0.000432526,0.000550488,0.000668449,0.000432526,0.000275244,0.000353885
PASV366,0.00070777,0,0,0.00070777,0.000943693,0
PASV481,0.000511167,0.00074709,0,0,0.000865052,0
PASV285,0.000983014,0.000983014,0,0.001179616,0.001376219,0
PASV4078,0,0,0.001494181,0.001494181,0,0
PASV253,0.001179616,0.001494181,0.000825731,0.00070777,0,0
PASV397,0.00070777,0.000471846,7.86E-05,0.000275244,0.000393205,0.000393205
PASV348,0.00074709,0.000353885,0.000471846,0.000235923,0.000589808,0.000432526
PASV754,0.000275244,0,0.000196603,0.000196603,0.000865052,0
PASV493,0.000393205,0.000393205,0,0.000825731,0.000825731,0.000825731
PASV808,0.000235923,0.000511167,0,0.00070777,0,0
PASV522,0.000353885,0.000314564,0.000825731,0.000275244,0.000353885,0
PASV138,0.001572822,0,0,0.001730104,0,0
PASV527,0.000393205,0,0.00070777,0,0.000786411,0.000550488
PASV361,0.000511167,0.000196603,0.000275244,0.000668449,0.000196603,0.000589808
PASV440,0.000471846,0,0,0.002634476,0,0
PASV873,0.000196603,0,0.00074709,0,0.002752438,0.000825731
PASV834,0.000353885,0,0,0.000550488,0.003145643,0
PASV718,0.000314564,0.000629129,0.000629129,0,0.000314564,0.000865052
PASV369,0.000550488,0.000353885,0,0.000393205,0.000235923,0.000471846
PASV594,0.000235923,0.000511167,0.000589808,0.000393205,0.000471846,0
PASV1250,3.93E-05,0.000629129,0.000196603,0.000196603,0,0.000196603
PASV456,0.000471846,0.000865052,0,0.000196603,0.000471846,0.00070777
PASV295,0.000668449,0,0.000825731,0.000235923,0.000275244,0.000353885
PASV547,0.000353885,0.000432526,0.000668449,0.000668449,0,0.001022334
PASV866,0.000196603,0.000629129,0.000589808,0.000432526,0.000668449,0.000393205
PASV610,0.000471846,0.000511167,0.000629129,0.00070777,0.000786411,0
PASV365,0.00074709,0.000353885,0,0.000668449,0.000393205,0.000550488
PASV711,0.000196603,0.000629129,0,0.000393205,0.000629129,0.000432526
PASV341,0.00070777,0.000393205,0.000432526,0,0.000668449,0
PASV548,0.000471846,0.000471846,0.000629129,0.000865052,0.000550488,0.000275244
PASV609,0.000235923,0,0,0.00074709,0.000550488,0
PASV2384,0,0.000983014,0.001376219,0.001100975,0,0
PASV882,0.000235923,0.000471846,0.000511167,0.000589808,0.000550488,0.000275244
PASV413,0.000511167,0.000471846,0.000550488,0.000471846,0.000432526,0
PASV303,0.00070777,0.002555835,0,0,0,0.000865052
PASV5560,0,0,0,0,0.001848065,0
PASV383,0.000550488,0,0,0,0,0.001179616
PASV243,0.001022334,0,0,0.001572822,0.000865052,0
PASV595,0.000511167,0,0.000550488,0.000432526,0.000432526,0.000196603
PASV442,0.000629129,0,0,0,0,0.001022334
PASV603,0.000353885,0,0,0,0.000511167,0.000314564
PASV556,0.000353885,0.000314564,7.86E-05,0.000235923,0.000511167,0.000393205
PASV1025,0.000157282,0.00074709,0.000668449,0.000432526,0.000550488,0.000629129
PASV343,0.00070777,0,0,0,0.001022334,0
PASV2419,0,0.000668449,0.001297578,0,7.86E-05,0.00070777
PASV716,0.000275244,0,0,0.000117962,0.002555835,0
PASV204,0.001336898,0.000393205,0,0.000393205,0,0.000432526
PASV679,0.000196603,0,0,7.86E-05,0.000314564,0.000471846
PASV600,0.000432526,0.000471846,0.000196603,0.000983014,0.000629129,0.000629129
PASV274,0.000904372,0,0.000825731,0,0.000668449,0
PASV536,0.000432526,0,0,0.000589808,0,0
PASV803,0.000275244,0.000235923,0.000629129,0.000943693,0.000275244,0.000353885
PASV269,0.000825731,0.001061655,0,0,0.001376219,0
PASV351,0.000629129,0,0.000550488,0,0.000196603,0
PASV1236,0.000196603,0.000196603,0,0.000668449,0.000196603,0
PASV3213,0,0,0,0,0,0.002083989
PASV757,0.000157282,0,0.000589808,0.000511167,0,0
PASV5557,0,0,0,0.002319912,0.002398553,0
PASV906,0.000117962,0.000432526,0.000511167,0,0.000589808,0.000314564
PASV416,0.000629129,0.001730104,0,0,0,0.000471846
PASV490,0.000314564,0.000471846,0,0.000550488,0.000353885,0.000275244
PASV439,0.00070777,0.000589808,0,0,0,0.001100975
PASV815,0.000235923,0,0,0.000432526,0,0.001179616
PASV558,0.000393205,0,0.000117962,0.000314564,0.000353885,0.000471846
PASV633,0.000314564,0.000589808,0.000157282,0.000353885,0.000393205,0.000629129
PASV434,0.000511167,0,0.001022334,0,0,0
PASV340,0.000943693,0,0,0,0.002083989,0
PASV390,0.000511167,0,0.000353885,0,0.000511167,0.001140296
PASV532,0.000550488,0.000196603,0,0.000275244,0,0
PASV2434,0,0.000432526,0,0,0.000471846,0.000275244
PASV943,0.000157282,0.000275244,0.000314564,0.000865052,0.000353885,0.000314564
PASV364,0.000511167,0,0,0,0.000825731,0
PASV407,0.000629129,0.000589808,0,0,0.000393205,0.000550488
PASV384,0.000432526,0.000353885,0.000157282,3.93E-05,0.000550488,0.000275244
PASV721,0.000353885,0,0.000668449,0,0,0
PASV488,0.000314564,0.001100975,0,0,0,0
PASV543,0.000314564,0,0,0.001179616,0.000825731,0
PASV286,0.000983014,0.000432526,0.001533501,0,0,0
PASV921,7.86E-05,0.000353885,0.000471846,0.000314564,0,0
PASV589,0.000432526,0.000471846,0,0.000904372,0,0
PASV577,0.000432526,0.000668449,0.000786411,0.000314564,0.000511167,0.000589808
PASV917,0.000157282,0,0.000904372,0,0.000786411,0.001061655
PASV288,0.000629129,0,0,0.000825731,0,0
PASV326,0.000786411,0,0,0.000275244,0.000825731,0.000550488
PASV395,0.000825731,0.000235923,0,0,0.000550488,0.00070777
PASV4092,0,0,0.000943693,0.002044668,0,0
PASV382,0.000471846,0,0.001572822,0.000629129,0,0
